benchmark,job_id,kind,model,pair_type,style_category,task_type,clipI_content,clipI_style,clipT_gain,clipT_source,clipT_target,colorhist_content,colorhist_style,dino_content,dino_style,fourier_style,leak_clip_style,leak_dino_style,lpips_content,output,seconds,siglip_content,siglip_style
magicbrush,mb_140513,edit,flux_img2img,,,edit_mixed,0.5618733167648315,,,,0.2182786762714386,0.011308137535694474,,0.1440533846616745,,,,,0.47991999983787537,outputs/flux_img2img/mb_140513_flux_img2img_s0.png,7.9,0.6514848470687866,
magicbrush,mb_319096,edit,flux_img2img,,,edit_mixed,0.8506906032562256,,,,0.24198585748672485,0.008455254979386654,,0.6273139715194702,,,,,0.25983190536499023,outputs/flux_img2img/mb_319096_flux_img2img_s0.png,7.4,0.8704793453216553,
magicbrush,mb_393224,edit,flux_img2img,,,edit_mixed,0.8455182313919067,,,,0.1972624659538269,0.0052861711690499295,,0.8642204999923706,,,,,0.1893913298845291,outputs/flux_img2img/mb_393224_flux_img2img_s0.png,7.4,0.9120343923568726,
magicbrush,mb_122896,edit,flux_img2img,,,edit_mixed,0.8763511776924133,,,,0.24745702743530273,0.0039334701553416,,0.6700096130371094,,,,,0.34247708320617676,outputs/flux_img2img/mb_122896_flux_img2img_s0.png,7.5,0.8502131700515747,
magicbrush,mb_415314,edit,flux_img2img,,,edit_mixed,0.7086168527603149,,,,0.2840203046798706,0.018937193712933845,,0.43072909116744995,,,,,0.407698392868042,outputs/flux_img2img/mb_415314_flux_img2img_s0.png,7.5,0.6957677602767944,
magicbrush,mb_75065,edit,flux_img2img,,,edit_mixed,0.8145521283149719,,,,0.24838262796401978,0.010991052535719832,,0.766396164894104,,,,,0.27007758617401123,outputs/flux_img2img/mb_75065_flux_img2img_s0.png,7.5,0.8646068572998047,
magicbrush,mb_483587,edit,flux_img2img,,,edit_mixed,0.9096893072128296,,,,0.2491772472858429,0.003084058994856343,,0.8891758918762207,,,,,0.3227249085903168,outputs/flux_img2img/mb_483587_flux_img2img_s0.png,7.5,0.9279058575630188,
magicbrush,mb_393375,edit,flux_img2img,,,edit_mixed,0.7968798875808716,,,,0.25722387433052063,0.012286611099598544,,0.5156556963920593,,,,,0.33616381883621216,outputs/flux_img2img/mb_393375_flux_img2img_s0.png,7.6,0.7726916670799255,
magicbrush,mb_341070,edit,flux_img2img,,,edit_mixed,0.9653782248497009,,,,0.20457684993743896,0.0068480523663311,,0.9136945009231567,,,,,0.21444620192050934,outputs/flux_img2img/mb_341070_flux_img2img_s0.png,7.6,0.9577686190605164,
magicbrush,mb_237569,edit,flux_img2img,,,edit_mixed,0.9312427043914795,,,,0.2571069598197937,0.018239123382298446,,0.7777791023254395,,,,,0.18178972601890564,outputs/flux_img2img/mb_237569_flux_img2img_s0.png,7.6,0.8888705968856812,
magicbrush,mb_253975,edit,flux_img2img,,,edit_mixed,0.8589613437652588,,,,0.22904451191425323,0.01586173229918062,,0.5404302477836609,,,,,0.2103380411863327,outputs/flux_img2img/mb_253975_flux_img2img_s0.png,7.6,0.802863359451294,
magicbrush,mb_557105,edit,flux_img2img,,,edit_mixed,0.9030611515045166,,,,0.24867376685142517,0.005474342859022015,,0.35306283831596375,,,,,0.34064269065856934,outputs/flux_img2img/mb_557105_flux_img2img_s0.png,7.6,0.8418548703193665,
magicbrush,mb_77596,edit,flux_img2img,,,edit_mixed,0.9364032745361328,,,,0.2528734803199768,0.009912616493073702,,0.7514935731887817,,,,,0.2206321507692337,outputs/flux_img2img/mb_77596_flux_img2img_s0.png,7.6,0.9324951171875,
magicbrush,mb_7730,edit,flux_img2img,,,edit_mixed,0.931212306022644,,,,0.2463012933731079,0.019823660513419245,,0.6605342030525208,,,,,0.24709858000278473,outputs/flux_img2img/mb_7730_flux_img2img_s0.png,7.6,0.9122561812400818,
magicbrush,mb_369969,edit,flux_img2img,,,edit_mixed,0.7736911773681641,,,,0.23587092757225037,0.02682870459033286,,0.6749790906906128,,,,,0.30109089612960815,outputs/flux_img2img/mb_369969_flux_img2img_s0.png,7.6,0.8021707534790039,
magicbrush,mb_399759,edit,flux_img2img,,,edit_mixed,0.8361713886260986,,,,0.29678812623023987,0.010059332708369388,,0.6126257181167603,,,,,0.3226640820503235,outputs/flux_img2img/mb_399759_flux_img2img_s0.png,7.6,0.7762628793716431,
magicbrush,mb_57357,edit,flux_img2img,,,edit_mixed,0.8239484429359436,,,,0.3256051540374756,0.0025708511064567886,,0.5973997116088867,,,,,0.46786049008369446,outputs/flux_img2img/mb_57357_flux_img2img_s0.png,7.6,0.8593111634254456,
magicbrush,mb_553827,edit,flux_img2img,,,edit_mixed,0.830017626285553,,,,0.2914934456348419,0.005113126893027625,,0.4089677333831787,,,,,0.37388545274734497,outputs/flux_img2img/mb_553827_flux_img2img_s0.png,7.6,0.8553309440612793,
piebench,pie_1_0,edit,flux_img2img,,,object_replace,0.9694643616676331,,-0.02668929100036621,0.27338650822639465,0.24669721722602844,0.018185939228206046,,0.8599653244018555,,,,,0.2664650082588196,outputs/flux_img2img/pie_1_0_flux_img2img_s0.png,7.6,0.8851727247238159,
piebench,pie_1_1,edit,flux_img2img,,,object_replace,0.9277441501617432,,-0.07421404123306274,0.3487403988838196,0.27452635765075684,0.009680533855064037,,0.8847090601921082,,,,,0.21397951245307922,outputs/flux_img2img/pie_1_1_flux_img2img_s0.png,7.6,0.9327926635742188,
piebench,pie_1_2,edit,flux_img2img,,,object_replace,0.9567381143569946,,-0.11504963040351868,0.3036532998085022,0.18860366940498352,0.013231543519695809,,0.9297665357589722,,,,,0.1485331654548645,outputs/flux_img2img/pie_1_2_flux_img2img_s0.png,7.6,0.9487910270690918,
piebench,pie_2_0,edit,flux_img2img,,,object_add,0.9311178922653198,,0.045625537633895874,0.3379528224468231,0.383578360080719,0.01428382335007452,,0.8236708045005798,,,,,0.28357556462287903,outputs/flux_img2img/pie_2_0_flux_img2img_s0.png,7.6,0.960429310798645,
piebench,pie_2_1,edit,flux_img2img,,,object_add,0.8609575033187866,,0.07179397344589233,0.2658129334449768,0.33760690689086914,0.0026442186863210927,,0.8231695890426636,,,,,0.2780372202396393,outputs/flux_img2img/pie_2_1_flux_img2img_s0.png,7.5,0.8348230719566345,
piebench,pie_2_2,edit,flux_img2img,,,object_add,0.9224565625190735,,0.0007105469703674316,0.3233875036239624,0.32409805059432983,0.016690900265607878,,0.896701991558075,,,,,0.338528037071228,outputs/flux_img2img/pie_2_2_flux_img2img_s0.png,7.6,0.8970726132392883,
piebench,pie_3_0,edit,flux_img2img,,,object_remove,0.9466720819473267,,-0.05078914761543274,0.3041766285896301,0.2533874809741974,0.016795653405456967,,0.9243344664573669,,,,,0.07909978926181793,outputs/flux_img2img/pie_3_0_flux_img2img_s0.png,7.5,0.9775674343109131,
piebench,pie_3_1,edit,flux_img2img,,,object_remove,0.9589846730232239,,-0.08571803569793701,0.34679657220840454,0.26107853651046753,0.004713456690406416,,0.7190887928009033,,,,,0.1050582006573677,outputs/flux_img2img/pie_3_1_flux_img2img_s0.png,7.6,0.9681863784790039,
piebench,pie_3_2,edit,flux_img2img,,,object_remove,0.9682427644729614,,-0.06765821576118469,0.3752061426639557,0.307547926902771,0.005546934097469163,,0.8979300260543823,,,,,0.2651432752609253,outputs/flux_img2img/pie_3_2_flux_img2img_s0.png,7.6,0.9736754894256592,
piebench,pie_4_0,edit,flux_img2img,,,attribute,0.9680455923080444,,0.013533830642700195,0.3163543939590454,0.3298882246017456,0.006567927147965811,,0.9336605668067932,,,,,0.15233853459358215,outputs/flux_img2img/pie_4_0_flux_img2img_s0.png,7.5,0.9710118770599365,
piebench,pie_4_1,edit,flux_img2img,,,attribute,0.9120907783508301,,-0.0029450654983520508,0.2909334897994995,0.28798842430114746,0.06453260077002819,,0.8941642045974731,,,,,0.23321521282196045,outputs/flux_img2img/pie_4_1_flux_img2img_s0.png,7.5,0.9620321989059448,
piebench,pie_4_2,edit,flux_img2img,,,attribute,0.9424503445625305,,-0.031852900981903076,0.3381555676460266,0.30630266666412354,0.01973423146274212,,0.9326186180114746,,,,,0.13150933384895325,outputs/flux_img2img/pie_4_2_flux_img2img_s0.png,7.5,0.9400317668914795,
piebench,pie_6_0,edit,flux_img2img,,,color,0.9042108058929443,,-0.019155830144882202,0.3187309801578522,0.29957515001296997,0.04093899409760622,,0.7882155179977417,,,,,0.3059621751308441,outputs/flux_img2img/pie_6_0_flux_img2img_s0.png,7.5,0.9594398140907288,
piebench,pie_6_1,edit,flux_img2img,,,color,0.9467182755470276,,-0.028915107250213623,0.37717485427856445,0.34825974702835083,0.003922825834317946,,0.865717887878418,,,,,0.2700789272785187,outputs/flux_img2img/pie_6_1_flux_img2img_s0.png,7.5,0.9644681215286255,
piebench,pie_6_2,edit,flux_img2img,,,color,0.7602361440658569,,-0.029895514249801636,0.2984298765659332,0.2685343623161316,0.007283459944462351,,0.7545080184936523,,,,,0.3986215889453888,outputs/flux_img2img/pie_6_2_flux_img2img_s0.png,7.5,0.814302921295166,
piebench,pie_7_0,edit,flux_img2img,,,material,0.9422321319580078,,-0.029913395643234253,0.34320884943008423,0.31329545378685,0.011690700926305125,,0.8598092198371887,,,,,0.13618104159832,outputs/flux_img2img/pie_7_0_flux_img2img_s0.png,7.5,0.9450492858886719,
piebench,pie_7_1,edit,flux_img2img,,,material,0.9403047561645508,,-0.010240048170089722,0.3183167576789856,0.3080767095088959,0.0066087931111142644,,0.892928957939148,,,,,0.13875426352024078,outputs/flux_img2img/pie_7_1_flux_img2img_s0.png,7.6,0.9314671158790588,
