prompt_id,seed,step_index,node_i,label_action,label_horizon,sigma,delta_sigma,progress,remaining_steps,raw_rel_l1,acc_rel_l1,h_norm,h_norm_drift,h_cos_drift,refresh_distance,prev_action_code,src_rel_l1,tar_rel_l1,cos_hsrc_htar,rel_l1_src_tar,branch_asymmetry,dv_norm_proxy,damage_fresh,damage_cache,damage_jump_1.25,damage_jump_1.5,damage_jump_2.0
geneval_single_object_1,0,2,2,cache,1.0,0.9606437683105469,-0.020715534687042236,0.07142857142857142,26.0,0.73046875,0.0,1.953125,0.7184684684683649,0.024542629718780518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,44.55580242644282,29.764064838213802,29.394503994027545,28.778531166810385
geneval_single_object_1,0,4,4,cache,1.0,0.91847163438797,-0.022238194942474365,0.14285714285714285,24.0,0.408203125,0.0,0.58984375,0.3760330578508419,0.01970696449279785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,45.491803595063004,28.77785836667213,28.08510416246815,27.220161722807994
geneval_single_object_1,0,6,6,cache,1.0,0.8731700778007507,-0.023935258388519287,0.21428571428571427,22.0,0.259765625,0.259765625,0.326171875,0.21962616822377362,0.012218952178955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,47.117148839349426,28.745079705222384,28.333954009312755,27.41046267809589
geneval_single_object_1,0,8,8,cache,1.0,0.8243773579597473,-0.025834202766418457,0.2857142857142857,20.0,0.2021484375,0.2021484375,0.21875,0.17037037036972424,0.008144080638885498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,49.19572754400331,28.638148108484177,28.044545163982942,27.267551457802565
geneval_single_object_1,0,10,10,cache,1.0,0.771673858165741,-0.02796834707260132,0.35714285714285715,18.0,0.15234375,0.15234375,0.16796875,0.11794871794809857,0.005285978317260742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,49.95266115212723,28.859211787946208,28.335552906003926,27.38116011780843
geneval_single_object_1,0,12,12,cache,1.0,0.714569628238678,-0.030378341674804688,0.42857142857142855,16.0,0.12109375,0.0,0.140625,0.08280254777016058,0.003538787364959717,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,48.1707698788452,29.156542453614904,28.661017611115497,27.60417684631886
geneval_single_object_1,0,14,14,cache,1.0,0.652489423751831,-0.03311377763748169,0.5,14.0,0.1103515625,0.21875,0.12158203125,0.07089552238751792,0.002489030361175537,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,48.154725881890236,29.763033211047848,29.250054439383536,28.258691057241844
geneval_single_object_1,0,16,16,cache,1.0,0.5847535133361816,-0.03623616695404053,0.5714285714285714,12.0,0.10302734375,0.10302734375,0.10791015625,0.06751054852262336,0.0020020604133605957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,49.75027600877965,30.60054864802201,30.123958096866083,29.16210293822558
geneval_single_object_1,0,18,18,cache,1.0,0.5105518102645874,-0.03982192277908325,0.6428571428571429,10.0,0.099609375,0.29541015625,0.0966796875,0.05714285714229986,0.0019101500511169434,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,45.36274052609464,31.475676900270887,30.98933053630317,30.069067548789164
geneval_single_object_1,0,20,20,cache,1.0,0.4289122223854065,-0.043967485427856445,0.7142857142857143,8.0,0.099609375,0.099609375,0.0869140625,0.053191489361122675,0.0023002028465270996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,44.946278647329294,30.895350232233433,30.596566161232523,29.932662326898857
geneval_single_object_1,0,22,22,jump_2.0,2.0,0.338657408952713,-0.04879581928253174,0.7857142857142857,6.0,0.123046875,0.0,0.0810546875,0.02923976608152115,0.004429340362548828,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,37.39137642459213,35.80778753701258,34.98696364053237,33.33683157320106
geneval_single_object_1,0,24,24,jump_2.0,2.0,0.23834773898124695,-0.05446554720401764,0.8571428571428571,4.0,0.1171875,0.2451171875,0.078125,0.012345679012189604,0.005357980728149414,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,38.89839713645824,36.48217903089641,35.426542875095386,33.2928396174266
geneval_single_object_2,0,2,2,cache,1.0,0.9606437683105469,-0.020715534687042236,0.07142857142857142,26.0,0.73046875,0.0,1.9609375,0.7173423423422389,0.024614274501800537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,38.65797159420416,27.090972530977808,26.69550877716699,26.2303367687429
geneval_single_object_2,0,4,4,cache,1.0,0.91847163438797,-0.022238194942474365,0.14285714285714285,24.0,0.412109375,0.0,0.58984375,0.37860082304486864,0.019614577293395996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,46.339218067968105,26.617724509827923,26.276760291731243,25.10522594288944
