bucket,experiment,job_id,prompt_key,source_id,spectral_op,style_category,style_id,task_type,clipI_content,clipI_style,clipT_gain,clipT_source,clipT_target,clip_leak_gap,colorhist_content,colorhist_style,dino_content,dino_style,fourier_style,leak_clip_style,leak_dino_style,leak_gap,lpips_content,output,seconds,siglip_content,siglip_style
spectral_source,spectral_source,src_pie_9_1_phase_only,,pie_9_1,phase_only,,,style,0.76879,,0.05311,0.29453,0.34763,,0.34394,,0.29356,,,,,,0.64417,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_9_1_phase_only_s0.png,54.2,0.70844,
spectral_source,spectral_source,src_pie_9_1_amplitude_only,,pie_9_1,amplitude_only,,,style,0.69728,,-0.01986,0.29476,0.2749,,0.34374,,0.01983,,,,,,0.85692,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_9_1_amplitude_only_s0.png,54.2,0.70974,
spectral_source,spectral_source,src_pie_9_1_low_band,,pie_9_1,low_band,,,style,0.85076,,0.07253,0.27431,0.34685,,0.34049,,0.54369,,,,,,0.46766,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_9_1_low_band_s0.png,54.1,0.84824,
spectral_source,spectral_source,src_pie_9_1_high_band,,pie_9_1,high_band,,,style,0.77259,,0.06317,0.2972,0.36038,,0.3397,,0.27783,,,,,,0.71223,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_9_1_high_band_s0.png,54.2,0.74465,
kontext_baseline_replay,spectral_reference,ref_leak_0_adversarial_content_raw,neutral_style,mb_140513,content_raw,watercolor,style_watercolor_0,stylization_adversarial,0.71633,0.61433,,,,0.102,0.19804,0.13259,0.69244,0.22938,0.03787,0.61433,0.22938,0.46306,0.703,e50_spectral_kontext_pilot/outputs/kontext_baseline_replay/ref_leak_0_adversarial_content_raw_s0.png,54.2,0.77833,0.55616
spectral_reference,spectral_reference,ref_leak_0_adversarial_content_phase_style_amp,neutral_style,mb_140513,content_phase_style_amp,watercolor,style_watercolor_0,stylization_adversarial,0.64486,0.70622,,,,-0.06137,0.19559,0.1327,0.57713,0.29228,0.05369,0.70622,0.29228,0.28485,0.72034,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_0_adversarial_content_phase_style_amp_s0.png,54.1,0.70719,0.67173
spectral_reference,spectral_reference,ref_leak_0_adversarial_style_phase_content_amp,neutral_style,mb_140513,style_phase_content_amp,watercolor,style_watercolor_0,stylization_adversarial,0.43263,0.76827,,,,-0.33564,0.14259,0.09461,-0.00851,0.24919,0.07906,0.76827,0.24919,-0.2577,0.86809,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_0_adversarial_style_phase_content_amp_s0.png,54.1,0.5367,0.69975
spectral_reference,spectral_reference,ref_leak_0_adversarial_style_high_on_content,neutral_style,mb_140513,style_high_on_content,watercolor,style_watercolor_0,stylization_adversarial,0.7429,0.58087,,,,0.16203,0.20041,0.13282,0.80373,0.20936,0.03213,0.58087,0.20936,0.59438,0.68578,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_0_adversarial_style_high_on_content_s0.png,54.2,0.77054,0.55427
kontext_baseline_replay,spectral_reference,ref_leak_3_adversarial_content_raw,neutral_style,mb_122896,content_raw,abstract,style_abstract_0,stylization_adversarial,0.85144,0.53906,,,,0.31238,0.06523,0.07875,0.71885,0.07895,0.04386,0.53906,0.07895,0.6399,0.49563,e50_spectral_kontext_pilot/outputs/kontext_baseline_replay/ref_leak_3_adversarial_content_raw_s0.png,54.0,0.75783,0.54108
spectral_reference,spectral_reference,ref_leak_3_adversarial_content_phase_style_amp,neutral_style,mb_122896,content_phase_style_amp,abstract,style_abstract_0,stylization_adversarial,0.58592,0.67175,,,,-0.08583,0.14925,0.12504,0.20261,0.27004,0.06719,0.67175,0.27004,-0.06743,0.73666,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_3_adversarial_content_phase_style_amp_s0.png,54.0,0.5776,0.59009
spectral_reference,spectral_reference,ref_leak_3_adversarial_style_phase_content_amp,neutral_style,mb_122896,style_phase_content_amp,abstract,style_abstract_0,stylization_adversarial,0.50518,0.86645,,,,-0.36127,0.12584,0.1111,-0.02593,0.84193,0.02356,0.86645,0.84193,-0.86786,0.8151,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_3_adversarial_style_phase_content_amp_s0.png,54.1,0.43533,0.86377
