prompt_id,seed,step_index,node_i,jf,psnr_jump,psnr_cache,delta_psnr_jump_minus_cache,cost_jump,cost_cache,compute_saved,label_jump_helpful,sigma,delta_sigma,progress,remaining_steps,raw_rel_l1,acc_rel_l1,h_norm,h_norm_drift,h_cos_drift,refresh_distance,prev_action_code,src_rel_l1,tar_rel_l1,cos_hsrc_htar,rel_l1_src_tar,branch_asymmetry,dv_norm_proxy
geneval_two_object_1,0,12,12,1.17401123046875,30.902,30.649,0.253,5.175,5.193,0.018,1,0.714569628238678,-0.030378341674804688,0.42857142857142855,16.0,0.12158203125,0.12158203125,0.1328125,0.08108108108052009,0.0034926533699035645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_1,0,14,14,1.03179931640625,30.533,31.541,-1.008,5.14,5.158,0.018,0,0.652489423751831,-0.03311377763748169,0.5,14.0,0.11376953125,0.34912109375,0.11328125,0.07569721115476084,0.002609431743621826,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_1,0,16,16,1.180419921875,31.88,31.744,0.136,4.123,4.14,0.018,1,0.5847535133361816,-0.03623616695404053,0.5714285714285714,12.0,0.111328125,0.111328125,0.099609375,0.06849315068429099,0.0023122429847717285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_1,0,18,18,1.05438232421875,33.213,33.06,0.153,4.088,4.105,0.018,1,0.5105518102645874,-0.03982192277908325,0.6428571428571429,10.0,0.1015625,0.31298828125,0.08935546875,0.05181347150204086,0.002254664897918701,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_1,0,20,20,1.18682861328125,32.732,32.676,0.056,3.07,3.088,0.018,1,0.4289122223854065,-0.043967485427856445,0.7142857142857143,8.0,0.10107421875,0.10107421875,0.0810546875,0.040462427745185735,0.002637147903442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_1,0,22,22,1.04248046875,33.534,35.515,-1.981,3.035,3.053,0.018,0,0.338657408952713,-0.04879581928253174,0.7857142857142857,6.0,0.1240234375,0.33203125,0.076171875,0.031055900620722963,0.0047876834869384766,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_1,0,24,24,1.1773681640625,34.807,34.166,0.642,2.018,2.035,0.018,1,0.23834773898124695,-0.05446554720401764,0.8571428571428571,4.0,0.1162109375,0.1162109375,0.07421875,0.006535947712330813,0.005588710308074951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_2,0,10,10,1.04248046875,32.699,32.991,-0.292,6.193,6.211,0.018,0,0.771673858165741,-0.02796834707260132,0.35714285714285715,18.0,0.158203125,0.33203125,0.158203125,0.13368983957146044,0.004789829254150391,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_2,0,12,12,1.1688232421875,35.404,35.163,0.241,5.175,5.193,0.018,1,0.714569628238678,-0.030378341674804688,0.42857142857142855,16.0,0.1298828125,0.1298828125,0.126953125,0.09722222222153086,0.003152310848236084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_2,0,14,14,1.01318359375,36.668,36.721,-0.052,5.14,5.158,0.018,1,0.652489423751831,-0.03311377763748169,0.5,14.0,0.1279296875,0.37890625,0.103515625,0.09787234042467896,0.0025934576988220215,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
